Processing Time:28.9998054504 msec.
Total injuries and fatalities associated with each motor collision record:
Wall time: 29 ms
+----------+--------------------+-----------------+
|UNIQUE_KEY|All_Fatalities_Count|All_Injured_Count|
|3511062   |0                   |3                |
|3438912   |0                   |0                |
|3436843   |0                   |2                |
|3556715   |0                   |0                |
|3527514   |0                   |0                |
|3525975   |0                   |0                |
|3526018   |0                   |0                |
|3526111   |0                   |0                |
|3526506   |0                   |0                |
|3536977   |0                   |2                |
|3439249   |0                   |0                |
|3437849   |0                   |2                |
|3282997   |0                   |2                |
|3548330   |0                   |2                |
|3548073   |0                   |0                |
|3548292   |0                   |0                |
|3547602   |0                   |0                |
|3547978   |0                   |0                |
|3548434   |0                   |0                |
|3548859   |0                   |0                |
|3549513   |0                   |0                |
|3547934   |0                   |0                |
|3551476   |0                   |2                |
|3548332   |0                   |2                |
|3547392   |0                   |0                |
|3509785   |0                   |0                |
|3512560   |0                   |0                |
|3511855   |0                   |0                |
|3440795   |0                   |0                |
|3438112   |0                   |0                |
|3439169   |0                   |0                |
|3436887   |0                   |0                |
|3439518   |0                   |0                |
|3436805   |0                   |2                |
|3556798   |0                   |0                |
|3556709   |0                   |0                |
|3556680   |0                   |0                |
|3557001   |0                   |0                |
|3547778   |0                   |0                |
|3548043   |0                   |0                |
|3548027   |0                   |0                |
|3548044   |0                   |0                |
|3550695   |0                   |0                |
|3550696   |0                   |0                |
|3547401   |0                   |0                |
|3547726   |0                   |2                |
|3548059   |0                   |0                |
|3556692   |0                   |2                |
|3556693   |0                   |2                |
|3557349   |0                   |2                |
|3557760   |0                   |2                |
|3556986   |0                   |2                |
|3436552   |0                   |0                |
|3437619   |0                   |0                |
|3435878   |0                   |0                |
|3436052   |0                   |0                |
|3439585   |0                   |0                |
|3437683   |0                   |2                |
|3597766   |0                   |0                |
|3439603   |0                   |0                |
|3437672   |0                   |0                |
|3439495   |0                   |0                |
|3439567   |0                   |0                |
|3439494   |0                   |0                |
|3437655   |0                   |0                |
|3449987   |0                   |4                |
|3438074   |0                   |0                |
|3438915   |0                   |0                |
|3438898   |0                   |0                |
|3438937   |0                   |0                |
|3438218   |0                   |0                |
|3414090   |0                   |0                |
|3525718   |0                   |0                |
|3511055   |0                   |0                |
|3441639   |0                   |0                |
|3439381   |0                   |2                |
|3437488   |0                   |2                |
|3438026   |0                   |0                |
|3438756   |0                   |0                |
|3437170   |0                   |0                |
|3439382   |0                   |0                |
|3435780   |0                   |2                |
|3548769   |0                   |0                |
|3547434   |0                   |0                |
|3549058   |0                   |0                |
|3550384   |0                   |0                |
|3548259   |0                   |0                |
|3547492   |0                   |0                |
|3548210   |0                   |0                |
|3548205   |0                   |0                |
|3548023   |0                   |0                |
|3548340   |0                   |0                |
|3547357   |0                   |0                |
|3547267   |0                   |0                |
|3546907   |0                   |0                |
|3556600   |0                   |0                |
|3547277   |0                   |0                |
|3547148   |0                   |0                |
|3547698   |0                   |0                |
|3547361   |0                   |0                |
|3524468   |0                   |0                |
|3510019   |0                   |0                |
|3510008   |0                   |0                |
|3510305   |0                   |0                |
|3511150   |0                   |0                |
|3440003   |0                   |6                |
|3439180   |0                   |0                |
|3281427   |0                   |0                |
|3530206   |0                   |0                |
|3524856   |0                   |0                |
|3524768   |0                   |0                |
|3526205   |0                   |0                |
|3525101   |0                   |0                |
